PROBLEM 2 PART B PART ii UNSIMPLIFIED 
  A  B  C  D| OUT 
------------|-----
  0  0  0 0 |  1  
  0  0  0 1 |  1  
  0  0  1 0 |  1  
  0  0  1 1 |  1  
  0  1  0 0 |  1  
  0  1  0 1 |  1  
  0  1  1 0 |  1  
  0  1  1 1 |  1  
  1  0  0 0 |  1  
  1  0  0 1 |  1  
  1  0  1 0 |  0  
  1  0  1 1 |  1  
  1  1  0 0 |  1  
  1  1  0 1 |  1  
  1  1  1 0 |  0  
  1  1  1 1 |  0  

 SIMPLIFIED VERSION 
  A  B  C  D| OUT 
------------|-----
  0  0  0 0 |  1  
  0  0  0 1 |  1  
  0  0  1 0 |  1  
  0  0  1 1 |  1  
  0  1  0 0 |  1  
  0  1  0 1 |  1  
  0  1  1 0 |  1  
  0  1  1 1 |  1  
  1  0  0 0 |  1  
  1  0  0 1 |  1  
  1  0  1 0 |  0  
  1  0  1 1 |  1  
  1  1  0 0 |  1  
  1  1  0 1 |  1  
  1  1  1 0 |  0  
  1  1  1 1 |  0  
